date,open,high,low,close,volume
2025-08-18,272000.0,272000.0,267000.0,267500.0,1993220.0
2025-08-19,268500.0,270000.0,261500.0,263000.0,1709646.0
2025-08-20,254500.0,257000.0,251000.0,255500.0,3571545.0
2025-08-21,246500.0,251000.0,245000.0,245000.0,6301130.0
2025-08-22,245500.0,252500.0,245500.0,251000.0,3064062.0
2025-08-25,256000.0,261500.0,254000.0,259500.0,3183709.0
2025-08-26,259500.0,262500.0,257000.0,261500.0,2050625.0
2025-08-27,259000.0,261000.0,256000.0,260000.0,2801594.0
2025-08-28,254000.0,268500.0,253000.0,268500.0,3836024.0
2025-08-29,268000.0,270000.0,266000.0,269000.0,1892127.0
2025-09-01,259500.0,261000.0,255000.0,256000.0,1837054.0
2025-09-02,256000.0,261500.0,256000.0,260500.0,1584710.0
2025-09-03,259500.0,265500.0,257750.0,262500.0,2437896.0
2025-09-04,267000.0,271000.0,264500.0,265500.0,2189959.0
2025-09-05,273000.0,275000.0,272000.0,273500.0,3103427.0
2025-09-08,278500.0,279000.0,274000.0,277000.0,2018299.0
2025-09-09,278000.0,288500.0,277000.0,288000.0,4158342.0
2025-09-10,294500.0,305000.0,293000.0,304000.0,5265553.0
2025-09-11,310000.0,315000.0,305500.0,307000.0,5148088.0
2025-09-12,322000.0,329500.0,319000.0,328500.0,4242516.0
2025-09-15,339500.0,341500.0,325000.0,331000.0,4221256.0
2025-09-16,331500.0,354000.0,331500.0,348000.0,5841135.0
2025-09-17,341000.0,342500.0,333500.0,333500.0,4498866.0
2025-09-18,338500.0,357000.0,336500.0,353000.0,4526286.0
2025-09-19,351500.0,360000.0,348000.0,353000.0,4385543.0
2025-09-22,349000.0,359000.0,345250.0,351000.0,4377563.0
2025-09-23,355500.0,363000.0,353000.0,361000.0,3315336.0
2025-09-24,359000.0,364000.0,348500.0,357500.0,4165199.0
2025-09-25,352000.0,359000.0,349500.0,356500.0,2148215.0
2025-09-26,347500.0,349000.0,333000.0,336500.0,3685324.0
2025-09-29,339500.0,351000.0,339000.0,349000.0,2275986.0
2025-09-30,353000.0,356500.0,347500.0,347500.0,2238614.0
2025-10-01,351000.0,362000.0,351000.0,360000.0,2802437.0
2025-10-02,388500.0,404500.0,384000.0,395500.0,7430763.0
2025-10-10,426000.0,439250.0,416500.0,428000.0,6835852.0
2025-10-13,405500.0,415500.0,403000.0,415000.0,4356534.0
2025-10-14,425000.0,436500.0,406500.0,411500.0,4101275.0
2025-10-15,410500.0,424000.0,407000.0,422500.0,2688019.0
2025-10-16,421000.0,455000.0,420500.0,452500.0,4247934.0
2025-10-17,451500.0,475000.0,449500.0,465500.0,4541583.0
2025-10-20,477500.0,485500.0,465500.0,485500.0,3333903.0
2025-10-21,497000.0,502000.0,478000.0,479000.0,4126858.0
2025-10-22,475000.0,482000.0,469000.0,481500.0,3870276.0
2025-10-23,470000.0,488500.0,468000.0,478500.0,3583993.0
2025-10-24,493000.0,513000.0,491500.0,510000.0,4254202.0
2025-10-27,533000.0,537000.0,523000.0,535000.0,3381231.0
2025-10-28,521000.0,527000.0,509000.0,521000.0,5659008.0
2025-10-29,538000.0,559000.0,523000.0,558000.0,4803031.0
2025-10-30,558000.0,579000.0,552000.0,568000.0,4888461.0
2025-10-31,557000.0,566000.0,552000.0,559000.0,3351809.0
