date,open,high,low,close,volume
2025-08-18,71100.0,71200.0,70000.0,70000.0,13595591.0
2025-08-19,70400.0,70700.0,69700.0,70000.0,10533082.0
2025-08-20,70100.0,70700.0,69400.0,70500.0,17445516.0
2025-08-21,71500.0,71900.0,70600.0,70600.0,18843833.0
2025-08-22,71700.0,71800.0,70800.0,71400.0,9277432.0
2025-08-25,71700.0,71800.0,71000.0,71500.0,10345178.0
2025-08-26,70800.0,71100.0,70300.0,70300.0,14712519.0
2025-08-27,70100.0,70900.0,69800.0,70600.0,10523405.0
2025-08-28,70100.0,70400.0,69600.0,69600.0,11578024.0
2025-08-29,70100.0,70500.0,69700.0,69700.0,11682267.0
2025-09-01,68400.0,68600.0,67500.0,67600.0,12002343.0
2025-09-02,67800.0,69500.0,67800.0,69100.0,10604028.0
2025-09-03,69200.0,69800.0,68800.0,69800.0,10283009.0
2025-09-04,69500.0,70100.0,69300.0,70100.0,12284414.0
2025-09-05,70300.0,70400.0,69500.0,69500.0,11526724.0
2025-09-08,69800.0,70500.0,69600.0,70100.0,9263135.0
2025-09-09,70100.0,71500.0,70000.0,71500.0,14870245.0
2025-09-10,71800.0,72800.0,71600.0,72600.0,21928565.0
2025-09-11,73200.0,73600.0,72100.0,73400.0,20793501.0
2025-09-12,74600.0,75600.0,74200.0,75400.0,28219678.0
2025-09-15,77200.0,77600.0,75900.0,76500.0,19908805.0
2025-09-16,76900.0,79500.0,76700.0,79400.0,28218265.0
2025-09-17,79100.0,79100.0,77100.0,78200.0,20856317.0
2025-09-18,79100.0,80500.0,78600.0,80500.0,25619035.0
2025-09-19,81100.0,81200.0,79600.0,79700.0,20898386.0
2025-09-22,81500.0,84000.0,81100.0,83500.0,27529656.0
2025-09-23,85800.0,85900.0,83600.0,84700.0,23610263.0
2025-09-24,84200.0,85500.0,83700.0,85400.0,18300997.0
2025-09-25,84400.0,86200.0,84100.0,86100.0,19665151.0
2025-09-26,85000.0,85300.0,82400.0,83300.0,24071193.0
2025-09-29,83300.0,85000.0,83200.0,84200.0,13069094.0
2025-09-30,84600.0,84900.0,83400.0,83900.0,16319061.0
2025-10-01,84900.0,86200.0,84700.0,86000.0,22039361.0
2025-10-02,89300.0,90300.0,88700.0,89000.0,49883028.0
2025-10-10,94000.0,94500.0,92700.0,94400.0,35269748.0
2025-10-13,91300.0,93400.0,90700.0,93300.0,23883308.0
2025-10-14,95300.0,96000.0,90200.0,91600.0,35545235.0
2025-10-15,92300.0,95300.0,92100.0,95000.0,21050111.0
2025-10-16,95300.0,97700.0,95000.0,97700.0,28141060.0
2025-10-17,97200.0,99100.0,96700.0,97900.0,22730809.0
2025-10-20,97900.0,98300.0,96000.0,98100.0,17589756.0
2025-10-21,98500.0,99900.0,97300.0,97500.0,22803830.0
2025-10-22,97100.0,98600.0,95500.0,98600.0,15937611.0
2025-10-23,96800.0,98500.0,96300.0,96500.0,18488581.0
2025-10-24,97900.0,99000.0,97700.0,98800.0,18801925.0
2025-10-27,101300.0,102000.0,100600.0,102000.0,22169970.0
2025-10-28,100900.0,101000.0,99100.0,99500.0,20002282.0
2025-10-29,100200.0,101000.0,99100.0,100500.0,20899788.0
2025-10-30,102400.0,105800.0,102000.0,104100.0,34570017.0
2025-10-31,105000.0,108600.0,103300.0,107500.0,54824564.0
