date,open,high,low,close
20250602,205000,208500,203000,207500
20250604,218000,223000,216500,217500
20250605,225500,230000,222000,224500
20250609,233000,233500,228000,229000
20250610,231000,232500,227500,230500
20250611,236000,241000,235000,240000
20250612,242500,246500,235000,235500
20250613,240500,243000,233750,235500
20250616,238000,248500,238000,248000
20250617,253000,260000,248000,249000
20250618,245500,252000,245000,246500
20250619,247000,250000,242000,246000
20250620,249000,257000,247500,257000
20250623,252500,263000,248500,259500
20250624,270000,283000,269500,278500
20250625,289000,291500,284000,286000
20250626,294500,298500,287000,293000
20250627,288000,294500,281000,284000
20250630,288500,294500,286000,292000
20250701,291000,294500,285500,285500
20250702,283500,283500,274500,279000
20250703,281000,284000,277000,278500
20250704,279500,281500,269000,270500
20250707,266000,272000,264500,271000
20250708,271000,285000,268500,282000
20250709,282500,284000,277500,281000
