date,open,high,low,close
20250602,185800,188300,185700,186500
20250604,189000,189100,185500,185500
20250605,186300,192000,186300,191200
20250609,195400,202500,192300,198500
20250610,204000,204000,196800,200000
20250611,200500,202000,198900,201000
20250612,199500,201500,198900,198900
20250613,203500,206000,197400,200500
20250616,211000,211500,202000,209500
20250617,212000,213000,204000,206500
20250618,204500,244500,204000,243500
20250619,254500,259000,248500,252000
20250620,249000,269500,245000,269500
20250623,276500,295000,270000,290000
20250624,288500,292500,277500,290500
20250625,282500,286500,276000,283500
20250626,270000,275000,254000,261000
20250627,263500,265000,252000,257500
20250630,257000,268000,255500,262500
20250701,264000,269000,260000,262000
20250702,263000,263500,250000,252000
20250703,250500,260000,249500,253000
20250704,252500,254500,247500,249000
20250707,248500,260500,248500,256000
20250708,261500,263000,255000,258000
20250709,258500,258500,251000,254000
