date,open,high,low,close
20250602,56300,57300,56200,56800
20250604,57200,57900,56800,57800
20250605,58100,59900,57900,59100
20250609,60400,60400,59500,59800
20250610,60000,60100,58800,59200
20250611,59500,60100,59400,59900
20250612,59700,60000,59300,59500
20250613,60200,60200,57700,58300
20250616,58000,58100,56900,57200
20250617,57800,59800,57400,58100
20250618,58000,59800,57900,59800
20250619,60500,60600,59000,59200
20250620,59400,59800,59100,59500
20250623,58400,58500,57600,58000
20250624,59400,60600,59300,60500
20250625,61500,61600,60300,61300
20250626,61300,61300,59900,60200
20250627,60100,61600,60000,60800
20250630,61200,61200,59800,59800
20250701,60400,61100,60200,60200
20250702,60200,60900,59800,60800
20250703,61300,63800,61100,63800
20250704,64700,64700,63000,63300
20250707,62900,63300,61700,61700
20250708,61600,62400,61000,61400
20250709,61400,61400,60200,60400
