date,open,high,low,close
20250710,284000,297000,283500,297000
20250711,299500,306500,292000,294500
20250714,292500,302500,292500,300000
20250715,296000,298500,290000,298500
20250716,298500,299500,292500,296000
20250717,283500,289500,268000,269500
20250718,270000,275000,267000,269000
20250721,267500,274500,266500,272500
20250722,273000,273500,267000,268500
20250723,267500,271000,264500,269000
20250724,277000,279000,269000,269500
20250725,273000,275000,265500,266000
20250728,261000,265500,258500,262000
20250729,254500,265000,254500,262500
20250730,263000,266000,260500,263500
20250731,271000,274000,265500,273500
20250801,266000,267000,257000,258000
20250804,254500,260000,254000,258000
20250805,264000,264500,260500,263500
20250806,260500,260500,257500,258500
20250807,258000,263000,250000,262000
20250808,262000,266000,255500,256500
20250811,260500,267500,260000,267000
20250812,268000,276000,267500,269000
20250813,278000,279000,274000,278000
20250814,277500,277500,270500,276500
20250818,272000,272000,267000,267500
20250819,268500,270000,261500,263000
20250820,254500,257000,251000,255500
20250821,246500,251000,245000,245000
