date,open,high,low,close
20250710,2865,2890,2835,2850
20250711,2850,2905,2840,2875
20250714,2895,2895,2835,2860
20250715,2850,2870,2835,2870
20250716,2870,2880,2845,2865
20250717,2865,2870,2845,2860
20250718,2845,2870,2845,2865
20250721,2825,2875,2825,2855
20250722,2850,2865,2805,2810
20250723,2835,2865,2760,2845
20250724,2810,2845,2770,2810
20250725,2810,2810,2755,2770
20250728,2770,2790,2680,2710
20250729,2710,2730,2680,2685
20250730,2690,2720,2680,2685
20250731,2715,2780,2685,2760
20250801,2760,2810,2660,2665
20250804,2665,2720,2640,2690
20250805,2690,2740,2690,2710
20250806,2750,2755,2720,2755
20250807,2755,2775,2740,2775
20250808,2750,2810,2750,2770
20250811,2770,2800,2750,2765
20250812,2750,2790,2750,2750
20250813,2750,2750,2690,2720
20250814,2740,2755,2715,2735
20250818,2700,2730,2680,2695
20250819,2685,2980,2680,2780
20250820,2760,2845,2715,2760
20250821,2755,2825,2715,2725
