date,open,high,low,close
20250710,1534,1541,1520,1528
20250711,1534,1540,1517,1523
20250714,1520,1520,1499,1510
20250715,1510,1522,1497,1520
20250716,1520,1520,1499,1501
20250717,1501,1503,1487,1496
20250718,1494,1524,1493,1510
20250721,1519,1602,1512,1570
20250722,1580,1598,1540,1560
20250723,1561,1575,1547,1549
20250724,1549,1583,1525,1526
20250725,1545,1568,1526,1529
20250728,1529,1792,1514,1582
20250729,1583,1668,1540,1579
20250730,1580,1581,1540,1540
20250731,1551,1558,1510,1515
20250801,1506,1514,1443,1451
20250804,1442,1467,1436,1450
20250805,1453,1489,1453,1478
20250806,1470,1521,1465,1495
20250807,1496,1524,1486,1497
20250808,1493,1560,1493,1531
20250811,1535,1642,1535,1615
20250812,1604,1643,1592,1619
20250813,1625,1665,1618,1630
20250814,1624,1694,1624,1673
20250818,1655,1661,1590,1590
20250819,1591,1606,1552,1557
20250820,1540,1544,1514,1518
20250821,1525,1538,1495,1503
