date,open,high,low,close
20250710,2890,2905,2880,2890
20250711,2890,2935,2890,2915
20250714,2920,2930,2890,2915
20250715,2915,2940,2870,2890
20250716,2885,2915,2855,2865
20250717,2865,2910,2830,2835
20250718,2835,2890,2785,2795
20250721,2795,2795,2765,2785
20250722,2785,2800,2720,2720
20250723,2725,2760,2690,2745
20250724,2790,2800,2670,2700
20250725,2690,2690,2645,2650
20250728,2650,2685,2620,2675
20250729,2675,2685,2610,2650
20250730,2645,2715,2620,2665
20250731,2690,2710,2630,2645
20250801,2645,2645,2540,2560
20250804,2530,2610,2525,2550
20250805,2555,2625,2550,2585
20250806,2580,2610,2510,2605
20250807,2605,2635,2600,2615
20250808,2615,2650,2595,2595
20250811,2600,2660,2550,2585
20250812,2575,2625,2555,2555
20250813,2555,2575,2500,2540
20250814,2540,2560,2510,2535
20250818,2510,2525,2400,2475
20250819,2465,2465,2415,2465
20250820,2465,2465,2390,2445
20250821,2430,2450,2410,2435
