date,open,high,low,close
20250710,4780,4810,4755,4785
20250711,4825,4825,4705,4800
20250714,4800,4810,4740,4810
20250715,4775,4820,4755,4815
20250716,4815,4815,4740,4770
20250717,4790,4795,4705,4785
20250718,4785,4800,4740,4800
20250721,4800,4800,4760,4780
20250722,4795,4795,4690,4725
20250723,4725,4770,4630,4760
20250724,4775,4790,4640,4640
20250725,4605,4635,4570,4635
20250728,4580,4645,4515,4600
20250729,4600,4600,4495,4580
20250730,4555,4585,4530,4560
20250731,4560,4570,4525,4525
20250801,4400,4515,4400,4445
20250804,4405,4455,4355,4450
20250805,4450,4550,4405,4410
20250806,4410,4460,4390,4450
20250807,4450,4520,4400,4505
20250808,4505,4850,4410,4585
20250811,4585,4585,4465,4465
20250812,4465,4535,4425,4425
20250813,4430,4490,4400,4430
20250814,4430,4540,4400,4480
20250818,4405,4450,4175,4245
20250819,4245,4310,4085,4135
20250820,4135,4135,4025,4070
20250821,4070,4105,4030,4065
