date,open,high,low,close
20250710,2400,2450,2400,2440
20250711,2440,2445,2410,2425
20250714,2425,2435,2400,2415
20250715,2400,2435,2390,2425
20250716,2425,2435,2400,2435
20250717,2440,2465,2410,2435
20250718,2435,2480,2405,2430
20250721,2390,2425,2390,2410
20250722,2410,2440,2395,2420
20250723,2420,2435,2380,2410
20250724,2385,2450,2355,2355
20250725,2350,2375,2340,2355
20250728,2385,2400,2330,2335
20250729,2340,2360,2290,2350
20250730,2330,2350,2300,2325
20250731,2350,2485,2300,2425
20250801,2410,2440,2320,2345
20250804,2345,2370,2310,2320
20250805,2380,2380,2280,2300
20250806,2300,2360,2295,2320
20250807,2315,2355,2290,2295
20250808,2290,2340,2290,2325
20250811,2325,2355,2290,2295
20250812,2300,2315,2285,2300
20250813,2300,2300,2255,2290
20250814,2290,2290,2265,2290
20250818,2275,2330,2250,2260
20250819,2255,2285,2210,2240
20250820,2235,2235,2165,2195
20250821,2280,2280,2180,2185
