date,open,high,low,close
20250710,10220,10320,9970,10240
20250711,10210,10480,10090,10120
20250714,10280,10280,9980,10150
20250715,10150,10240,9970,10150
20250716,10150,10640,10100,10260
20250717,10380,10400,10000,10080
20250718,10080,10080,9760,9820
20250721,9820,9940,9670,9750
20250722,9870,9880,9670,9810
20250723,9810,9880,9660,9820
20250724,9830,9880,9690,9720
20250725,9720,9820,9510,9820
20250728,9830,9830,9570,9650
20250729,9700,9800,9540,9690
20250730,9740,9850,9690,9710
20250731,9720,9940,9720,9940
20250801,9920,9940,9450,9460
20250804,9460,9870,9370,9710
20250805,9830,9960,9720,9940
20250806,9940,10140,9850,10060
20250807,10140,10200,9230,9350
20250808,9450,9640,9330,9440
20250811,9460,9460,9000,9050
20250812,9180,9200,8950,9030
20250813,9020,9060,8790,8980
20250814,8980,9000,8850,8920
20250818,8830,8920,8770,8820
20250819,8810,8880,8770,8880
20250820,8760,8900,8600,8770
20250821,8730,8860,8700,8760
