date,open,high,low,close
20250710,2860,2905,2850,2885
20250711,2875,2935,2875,2920
20250714,2905,3000,2895,2950
20250715,2955,2955,2910,2945
20250716,2945,2945,2890,2900
20250717,2900,2905,2845,2905
20250718,2890,2920,2850,2860
20250721,2880,2900,2850,2855
20250722,2855,2900,2800,2810
20250723,2785,2835,2780,2815
20250724,2815,2835,2770,2800
20250725,2800,2845,2760,2760
20250728,2790,2790,2710,2720
20250729,2720,2885,2690,2760
20250730,2755,2780,2745,2765
20250731,2770,2770,2750,2760
20250801,2765,2765,2685,2695
20250804,2690,2770,2685,2735
20250805,2725,2775,2725,2740
20250806,2715,2780,2715,2765
20250807,2785,2785,2745,2770
20250808,2770,2810,2755,2765
20250811,2765,2790,2745,2770
20250812,2755,2785,2750,2765
20250813,2780,2780,2735,2735
20250814,2735,2765,2730,2735
20250818,2730,2740,2690,2710
20250819,2705,2720,2695,2710
20250820,2710,2710,2645,2680
20250821,2670,2700,2670,2685
