date,open,high,low,close
20250710,53500,56000,53200,55500
20250711,55100,55100,53100,54100
20250714,54000,54800,53000,53600
20250715,54400,54800,52300,54400
20250716,54400,54900,52900,54500
20250717,54300,55200,53500,54300
20250718,54400,54400,51300,52100
20250721,52400,53000,51600,52100
20250722,52400,52400,50500,51600
20250723,51200,51300,50200,50800
20250724,53000,55600,51900,53000
20250725,53100,53200,51600,52300
20250728,52900,52900,51000,51200
20250729,51100,55200,50900,54400
20250730,55000,56500,54000,55800
20250731,55800,59500,55800,58600
20250801,58600,58700,53200,57100
20250804,56100,56400,54200,55800
20250805,56100,59200,55900,58700
20250806,58800,60000,58200,59400
20250807,59600,60800,53700,54500
20250808,54000,54400,52200,52200
20250811,50800,53200,49950,53100
20250812,53000,53700,50800,51100
20250813,51500,56100,50000,55200
20250814,54900,58100,54600,57200
20250818,57100,59800,54500,58900
20250819,58500,58700,55400,57200
20250820,54300,56900,52500,55700
20250821,56600,58200,55800,57400
