date,open,high,low,close
20250710,4365,4430,4315,4395
20250711,4395,4460,4395,4435
20250714,4495,4500,4380,4475
20250715,4455,4530,4430,4500
20250716,4500,4510,4410,4430
20250717,4390,4470,4335,4455
20250718,4415,4475,4380,4415
20250721,4500,4535,4415,4510
20250722,4515,4540,4400,4430
20250723,4430,4485,4310,4405
20250724,4405,4450,4335,4335
20250725,4380,4380,4275,4290
20250728,4305,4335,4135,4170
20250729,4150,4300,4060,4075
20250730,4110,4245,4030,4120
20250731,4080,4325,4080,4270
20250801,4220,4220,4105,4125
20250804,4220,4220,4105,4145
20250805,4200,4260,4155,4155
20250806,4155,4255,4135,4215
20250807,4185,4270,4180,4245
20250808,4205,4625,4205,4255
20250811,4255,4370,4230,4290
20250812,4365,4365,4255,4290
20250813,4290,4335,4200,4210
20250814,4210,4295,4210,4230
20250818,4220,4250,4080,4200
20250819,4215,4700,4130,4340
20250820,4295,4430,4220,4270
20250821,4305,4520,4270,4330
