date,open,high,low,close
20250710,1024,1024,1007,1013
20250711,1064,1308,1064,1100
20250714,1100,1110,1076,1095
20250715,1088,1088,1068,1082
20250716,1082,1083,1060,1061
20250717,1075,1333,1050,1142
20250718,1173,1313,1133,1215
20250721,1190,1235,1167,1190
20250722,1175,1217,1167,1187
20250723,1202,1208,1160,1165
20250724,1155,1188,1121,1141
20250725,1137,1190,1105,1150
20250728,1150,1154,1109,1110
20250729,1107,1121,1085,1093
20250730,1083,1112,1082,1092
20250731,1092,1110,1085,1099
20250801,1089,1099,1051,1053
20250804,1048,1074,1040,1062
20250805,1062,1083,1055,1080
20250806,1070,1100,1060,1089
20250807,1100,1107,1088,1107
20250808,1107,1142,1091,1113
20250811,1120,1160,1090,1120
20250812,1120,1455,1107,1227
20250813,1237,1408,1193,1258
20250814,1276,1308,1206,1244
20250818,1220,1290,1220,1235
20250819,1261,1288,1181,1186
20250820,1184,1224,1157,1196
20250821,1200,1218,1179,1186
