date,open,high,low,close
20250710,60600,61200,60400,61000
20250711,61300,62800,61200,62600
20250714,62300,62600,61800,62500
20250715,62300,63800,62000,63700
20250716,63700,64700,63100,64700
20250717,65900,66800,64400,66700
20250718,67000,67800,66300,67100
20250721,67400,68800,67200,67800
20250722,68100,68500,65600,66000
20250723,66200,66500,64900,66400
20250724,66500,66800,65900,66000
20250725,65700,66300,65500,65900
20250728,68200,70400,67200,70400
20250729,70800,70800,68800,70600
20250730,71000,73700,70600,72600
20250731,73000,74000,71000,71400
20250801,70200,72000,68800,68900
20250804,69500,70200,68700,69700
20250805,71000,71500,69700,69900
20250806,69200,69400,68300,68800
20250807,70800,71000,69700,70500
20250808,71000,72400,70700,71800
20250811,72000,72100,70800,71000
20250812,71100,72400,71100,71100
20250813,71900,72100,71400,71900
20250814,71900,71900,71200,71600
20250818,71100,71200,70000,70000
20250819,70400,70700,69700,70000
20250820,70100,70700,69400,70500
20250821,71500,71900,70600,70600
