timestamp,cpu_percent,memory_percent,net_sent_MB,net_recv_MB
2025-07-24 13:00:19.927929,33.5,69.6,0.00,0.00
2025-07-24 13:00:20.941450,22.2,69.6,0.00,0.00
2025-07-24 13:00:21.954701,25.2,69.5,0.00,0.00
2025-07-24 13:00:22.970494,31.0,69.5,0.00,0.00
2025-07-24 13:00:23.992499,34.9,69.5,0.00,0.00
2025-07-24 13:00:25.008541,18.4,69.3,0.00,0.00
2025-07-24 13:00:26.024532,20.7,69.3,0.00,0.00
2025-07-24 13:00:27.042107,17.9,69.5,0.00,0.00
2025-07-24 13:00:28.084565,20.1,69.5,0.00,0.00
2025-07-24 13:00:29.114454,15.1,69.5,0.00,0.00
2025-07-24 13:00:30.139534,11.0,69.5,0.00,0.00
2025-07-24 13:00:31.178890,12.4,69.5,0.00,0.00
2025-07-24 13:00:32.210405,19.8,69.5,0.00,0.00
2025-07-24 13:00:33.226982,9.1,69.5,0.00,0.00
2025-07-24 13:00:34.261877,31.2,69.5,0.00,0.00
2025-07-24 13:00:35.291499,9.9,69.5,0.00,0.00
2025-07-24 13:00:36.317749,13.9,69.5,0.00,0.00
2025-07-24 13:00:37.347753,12.7,69.5,0.00,0.00
2025-07-24 13:00:38.369190,42.9,70.4,0.04,0.00
2025-07-24 13:00:39.393452,25.6,70.8,0.01,0.01
2025-07-24 13:00:40.412651,14.0,70.7,0.00,0.01
2025-07-24 13:00:41.430907,10.5,70.7,0.00,0.00
2025-07-24 13:00:42.445446,13.6,70.5,0.00,0.00
2025-07-24 13:00:43.461129,21.5,70.6,0.02,0.00
2025-07-24 13:00:44.477075,48.3,70.9,0.00,0.00
2025-07-24 13:00:45.488648,15.7,70.9,0.00,0.00
2025-07-24 13:00:46.529437,21.4,71.1,0.03,0.00
2025-07-24 13:00:47.565318,19.3,71.1,0.00,0.00
2025-07-24 13:00:48.579332,17.7,71.1,0.00,0.00
2025-07-24 13:00:49.603884,36.6,72.1,0.00,0.00
2025-07-24 13:00:50.617191,27.2,72.9,0.03,0.00
2025-07-24 13:00:51.632906,36.2,74.2,0.01,0.00
2025-07-24 13:00:52.646393,25.9,75.5,0.00,0.00
2025-07-24 13:00:53.678793,25.5,76.7,0.01,0.00
2025-07-24 13:00:54.709119,32.1,78.1,0.00,0.00
2025-07-24 13:00:55.723460,35.4,79.4,0.00,0.00
2025-07-24 13:00:56.737307,27.7,80.4,0.00,0.00
2025-07-24 13:00:57.761972,38.8,80.8,0.00,0.00
2025-07-24 13:00:58.788001,24.8,80.7,0.00,0.00
2025-07-24 13:00:59.802268,23.9,80.8,0.02,0.00
2025-07-24 13:01:00.831422,17.2,80.8,0.02,0.00
2025-07-24 13:01:01.850170,7.8,80.8,0.00,0.00
2025-07-24 13:01:02.865133,14.1,80.8,0.00,0.00
2025-07-24 13:01:03.878404,9.1,80.8,0.01,0.00
2025-07-24 13:01:04.900559,14.9,80.8,0.00,0.00
2025-07-24 13:01:05.920039,17.3,80.8,0.00,0.00
2025-07-24 13:01:06.955192,12.4,80.8,0.00,0.00
2025-07-24 13:01:07.972468,7.4,80.8,0.00,0.00
2025-07-24 13:01:08.988139,12.8,80.7,0.00,0.00
2025-07-24 13:01:10.006112,21.5,80.7,0.00,0.00
2025-07-24 13:01:11.031134,42.2,71.1,0.00,0.00
2025-07-24 13:01:12.044815,10.8,70.6,0.00,0.00
2025-07-24 13:01:13.077382,13.7,70.7,0.00,0.00
2025-07-24 13:01:14.117701,20.0,70.8,0.00,0.00
2025-07-24 13:01:15.145374,12.6,70.8,0.00,0.00
2025-07-24 13:01:16.164221,18.2,70.7,0.01,0.00
2025-07-24 13:01:17.187087,9.7,70.8,0.00,0.00
2025-07-24 13:01:18.221310,23.7,70.8,0.00,0.00
2025-07-24 13:01:19.235899,10.5,70.8,0.00,0.00
2025-07-24 13:01:20.264113,29.4,69.2,0.00,0.00
2025-07-24 13:01:21.289588,20.4,69.1,0.00,0.00
2025-07-24 13:01:22.310037,8.0,69.1,0.00,0.00
2025-07-24 13:01:23.339048,10.5,69.1,0.00,0.00
2025-07-24 13:01:24.353875,8.4,69.0,0.00,0.00
2025-07-24 13:01:25.375288,17.4,69.0,0.00,0.00
2025-07-24 13:01:26.392943,19.3,69.1,0.00,0.00
2025-07-24 13:01:27.412103,53.7,69.8,0.07,0.00
2025-07-24 13:01:28.430655,30.9,70.1,0.00,0.01
2025-07-24 13:01:29.451723,15.1,70.8,0.02,0.00
2025-07-24 13:01:30.468325,12.0,70.8,0.01,0.00
2025-07-24 13:01:31.489413,17.0,70.9,0.00,0.00
2025-07-24 13:01:32.502595,50.0,71.6,0.00,0.00
2025-07-24 13:01:33.517382,27.5,71.6,0.04,0.00
2025-07-24 13:01:34.532230,30.5,72.8,0.01,0.00
2025-07-24 13:01:35.545166,23.1,73.9,0.00,0.00
2025-07-24 13:01:36.558994,32.4,75.2,0.00,0.00
2025-07-24 13:01:37.572675,29.1,76.5,0.00,0.00
2025-07-24 13:01:38.586156,26.1,77.8,0.00,0.00
2025-07-24 13:01:39.600127,30.7,78.6,0.00,0.00
2025-07-24 13:01:40.613591,27.3,79.7,0.00,0.00
2025-07-24 13:01:41.631495,22.3,80.8,0.00,0.01
2025-07-24 13:01:42.648131,55.7,81.1,0.00,0.01
2025-07-24 13:01:43.661796,24.0,81.1,0.02,0.02
2025-07-24 13:01:44.692001,16.5,81.1,0.01,0.03
2025-07-24 13:01:45.714065,9.7,81.1,0.04,0.01
2025-07-24 13:01:46.736197,10.1,81.1,0.00,0.00
2025-07-24 13:01:47.763135,20.7,81.1,0.00,0.00
2025-07-24 13:01:48.781474,14.6,81.0,0.00,0.00
2025-07-24 13:01:49.833399,22.3,81.1,0.00,0.00
2025-07-24 13:01:50.878178,13.2,81.1,0.00,0.00
2025-07-24 13:01:51.895973,34.6,70.5,0.00,0.00
2025-07-24 13:01:52.914919,46.6,68.6,0.00,0.00
2025-07-24 13:01:53.952478,10.9,68.6,0.00,0.00
2025-07-24 13:01:54.970037,15.8,68.6,0.00,0.00
2025-07-24 13:01:56.012263,11.7,68.6,0.00,0.00
2025-07-24 13:01:57.030783,9.9,68.6,0.00,0.00
2025-07-24 13:01:58.052107,13.8,68.4,0.00,0.00
2025-07-24 13:01:59.083424,12.4,68.4,0.00,0.00
2025-07-24 13:02:00.117468,15.8,68.4,0.01,0.00
2025-07-24 13:02:01.131587,11.8,68.4,0.00,0.00
2025-07-24 13:02:02.156294,13.6,68.4,0.00,0.00
2025-07-24 13:02:03.178862,11.8,68.3,0.00,0.00
2025-07-24 13:02:04.210215,19.1,68.5,0.00,0.00
2025-07-24 13:02:05.229649,14.3,68.5,0.00,0.00
2025-07-24 13:02:06.254974,15.7,68.5,0.00,0.01
2025-07-24 13:02:07.268681,18.7,68.7,0.00,0.01
2025-07-24 13:02:08.304573,17.0,68.8,0.00,0.01
2025-07-24 13:02:09.336925,26.7,68.6,0.00,0.01
2025-07-24 13:02:10.363030,13.8,68.5,0.00,0.00
2025-07-24 13:02:11.381213,17.7,68.5,0.00,0.00
2025-07-24 13:02:12.411911,2.5,68.5,0.00,0.00
2025-07-24 13:02:13.436162,6.6,68.4,0.00,0.00
2025-07-24 13:02:14.461214,21.5,68.2,0.00,0.00
2025-07-24 13:02:15.485302,7.8,68.2,0.00,0.00
2025-07-24 13:02:16.511584,14.5,68.2,0.00,0.00
2025-07-24 13:02:17.543919,7.3,68.2,0.00,0.00
2025-07-24 13:02:18.563542,8.9,68.2,0.00,0.00
2025-07-24 13:02:19.590524,20.7,68.3,0.00,0.00
2025-07-24 13:02:20.603905,5.8,68.2,0.00,0.00
2025-07-24 13:02:21.633272,18.5,68.2,0.00,0.00
2025-07-24 13:02:22.661343,7.6,68.1,0.00,0.00
2025-07-24 13:02:23.681728,14.2,68.0,0.00,0.00
2025-07-24 13:02:24.706388,15.8,68.0,0.00,0.00
2025-07-24 13:02:25.732059,22.5,67.9,0.00,0.00
2025-07-24 13:02:26.758645,9.8,67.9,0.00,0.00
2025-07-24 13:02:27.783777,12.5,67.9,0.00,0.00
2025-07-24 13:02:28.819328,18.4,68.0,0.00,0.00
2025-07-24 13:02:29.848791,18.2,68.1,0.00,0.00
2025-07-24 13:02:30.877644,10.4,68.0,0.00,0.00
2025-07-24 13:02:31.905854,9.5,68.0,0.00,0.00
2025-07-24 13:02:32.936898,17.1,68.0,0.00,0.00
2025-07-24 13:02:33.963657,7.8,68.0,0.00,0.00
2025-07-24 13:02:34.995921,25.5,68.0,0.00,0.00
2025-07-24 13:02:36.009147,9.8,68.1,0.00,0.00
2025-07-24 13:02:37.038136,8.6,68.1,0.00,0.00
2025-07-24 13:02:38.067352,16.7,68.1,0.00,0.00
2025-07-24 13:02:39.101280,11.0,68.2,0.00,0.00
2025-07-24 13:02:40.146242,24.0,68.4,0.01,0.00
2025-07-24 13:02:41.183380,20.0,68.4,0.00,0.00
2025-07-24 13:02:42.213729,12.7,68.4,0.00,0.00
2025-07-24 13:02:43.243827,11.5,68.4,0.00,0.00
2025-07-24 13:02:44.273769,10.1,68.4,0.00,0.00
2025-07-24 13:02:45.295662,30.0,68.5,0.00,0.00
2025-07-24 13:02:46.316001,30.5,68.4,0.00,0.00
2025-07-24 13:02:47.348831,8.3,68.4,0.00,0.00
2025-07-24 13:02:48.378897,8.7,68.4,0.00,0.00
