거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-10 17:31:16,1120.0,31600.0,98.0,2380.46,433.46,5.49,956.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:31:20,34950.0,99800.0,86.0,5339.06,2937.11,1.82,46.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:31:23,79960.0,25350.0,94.0,1843.78,310.91,5.93,1440.0,매수,모의투자 장종료 입니다.,
2025-07-11 00:44:53,2840.0,167000.0,62.0,2207.47,7471.8,0.3,8.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:44:57,34950.0,99800.0,89.0,5903.31,2463.62,2.4,214.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:45:01,138040.0,116600.0,87.0,5215.54,2822.24,1.85,144.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:45:28,2840.0,167000.0,67.0,2554.92,7654.95,0.33,6.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:45:31,34950.0,99800.0,97.0,6635.52,1792.41,3.7,326.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:45:35,138040.0,116600.0,90.0,5900.55,2581.15,2.29,140.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:46:02,2840.0,167000.0,72.0,2675.38,6963.3,0.38,12.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:46:06,34950.0,99800.0,88.0,4586.24,2878.36,1.59,124.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:46:09,138040.0,116600.0,83.0,6287.82,2552.79,2.46,217.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:46:36,2840.0,167000.0,62.0,2261.92,8774.78,0.26,6.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:46:40,34950.0,99800.0,93.0,5534.92,2435.3,2.27,213.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:46:44,138040.0,116600.0,90.0,5237.76,2858.12,1.83,146.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:47:10,2840.0,167000.0,73.0,3286.46,7704.34,0.43,11.0,매수,모의투자 장시작전 입니다.,
