timestamp,cpu_percent,memory_percent,net_sent_MB,net_recv_MB
2025-07-24 13:53:24.298750,25.1,83.1,0.00,0.00
2025-07-24 13:53:25.328678,20.3,83.1,0.00,0.00
2025-07-24 13:53:26.349078,17.4,83.2,0.00,0.00
2025-07-24 13:53:27.375431,16.7,83.1,0.00,0.00
2025-07-24 13:53:28.412224,13.8,83.0,0.00,0.00
2025-07-24 13:53:29.443039,13.9,83.0,0.00,0.00
2025-07-24 13:53:30.463929,18.8,83.0,0.00,0.00
2025-07-24 13:53:31.489478,19.5,83.1,0.00,0.00
2025-07-24 13:53:32.525585,20.7,83.1,0.00,0.00
2025-07-24 13:53:33.542759,18.2,83.1,0.00,0.00
2025-07-24 13:53:34.565685,17.0,83.1,0.00,0.00
2025-07-24 13:53:35.588273,25.2,83.1,0.00,0.00
2025-07-24 13:53:36.612123,13.6,83.1,0.00,0.00
2025-07-24 13:53:37.639970,13.7,83.1,0.00,0.00
2025-07-24 13:53:38.649415,10.5,83.1,0.00,0.00
2025-07-24 13:53:39.692527,14.0,83.1,0.00,0.00
2025-07-24 13:53:40.719023,15.3,83.0,0.00,0.00
2025-07-24 13:53:41.748319,12.5,83.1,0.00,0.00
2025-07-24 13:53:42.776076,18.0,83.1,0.00,0.00
2025-07-24 13:53:43.803678,15.6,83.1,0.00,0.00
2025-07-24 13:53:44.816802,13.8,83.1,0.00,0.00
2025-07-24 13:53:45.855339,18.6,83.1,0.00,0.00
2025-07-24 13:53:46.881117,21.2,83.0,0.00,0.00
2025-07-24 13:53:47.908877,13.6,83.1,0.00,0.00
2025-07-24 13:53:48.938618,16.0,83.0,0.00,0.00
2025-07-24 13:53:49.962054,17.4,83.0,0.00,0.00
2025-07-24 13:53:50.985980,18.0,83.0,0.00,0.00
2025-07-24 13:53:52.001337,11.5,83.0,0.00,0.00
2025-07-24 13:53:53.031625,12.7,83.0,0.00,0.01
2025-07-24 13:53:54.047783,18.1,83.0,0.00,0.00
2025-07-24 13:53:55.083013,10.0,83.0,0.00,0.00
2025-07-24 13:53:56.098314,20.2,83.1,0.00,0.00
2025-07-24 13:53:57.119472,10.1,83.0,0.00,0.00
2025-07-24 13:53:58.146567,15.5,83.0,0.00,0.00
2025-07-24 13:53:59.169475,14.5,83.1,0.00,0.00
2025-07-24 13:54:00.184671,23.1,83.0,0.00,0.00
2025-07-24 13:54:01.212119,13.8,83.0,0.00,0.00
2025-07-24 13:54:02.237327,14.2,83.0,0.00,0.00
2025-07-24 13:54:03.258059,11.1,83.0,0.00,0.00
2025-07-24 13:54:04.296714,19.8,83.0,0.00,0.00
2025-07-24 13:54:05.326032,13.9,83.0,0.00,0.00
2025-07-24 13:54:06.349047,15.1,83.0,0.00,0.00
2025-07-24 13:54:07.372088,13.7,83.0,0.00,0.00
2025-07-24 13:54:08.409820,10.9,83.0,0.00,0.00
2025-07-24 13:54:09.415879,15.8,83.0,0.00,0.00
2025-07-24 13:54:10.443759,13.1,83.0,0.00,0.00
2025-07-24 13:54:11.458307,15.1,83.0,0.00,0.00
2025-07-24 13:54:12.474541,26.1,83.0,0.00,0.00
2025-07-24 13:54:13.490191,9.3,83.0,0.00,0.00
2025-07-24 13:54:14.506699,13.7,83.0,0.00,0.00
2025-07-24 13:54:15.520808,15.0,83.0,0.00,0.00
2025-07-24 13:54:16.564022,12.8,83.0,0.00,0.00
2025-07-24 13:54:17.589679,19.6,83.1,0.00,0.00
2025-07-24 13:54:18.607833,20.0,83.1,0.00,0.00
2025-07-24 13:54:19.625543,16.0,83.0,0.00,0.00
2025-07-24 13:54:20.656728,13.7,83.0,0.00,0.00
2025-07-24 13:54:21.686068,7.1,83.0,0.00,0.00
2025-07-24 13:54:22.718723,21.8,83.1,0.00,0.00
2025-07-24 13:54:23.738108,12.4,82.9,0.00,0.00
2025-07-24 13:54:24.757733,15.6,82.3,0.00,0.00
2025-07-24 13:54:25.794830,11.1,82.3,0.00,0.00
2025-07-24 13:54:26.815321,16.6,82.3,0.00,0.00
2025-07-24 13:54:27.843721,17.2,82.4,0.00,0.00
2025-07-24 13:54:28.871490,14.3,82.3,0.00,0.00
2025-07-24 13:54:29.900904,12.8,82.4,0.00,0.00
2025-07-24 13:54:30.936335,13.9,82.4,0.00,0.00
2025-07-24 13:54:31.953012,14.6,82.3,0.00,0.00
2025-07-24 13:54:33.006864,21.9,82.4,0.00,0.00
2025-07-24 13:54:34.044070,16.1,82.4,0.00,0.00
2025-07-24 13:54:35.074437,6.3,82.4,0.00,0.00
2025-07-24 13:54:36.096948,11.4,82.4,0.00,0.00
2025-07-24 13:54:37.138335,11.9,82.4,0.00,0.00
2025-07-24 13:54:38.159695,16.1,82.4,0.00,0.00
2025-07-24 13:54:39.200445,12.5,82.4,0.00,0.00
2025-07-24 13:54:40.225620,11.7,82.4,0.00,0.00
2025-07-24 13:54:41.251642,14.5,82.4,0.00,0.00
2025-07-24 13:54:42.278084,9.9,82.4,0.00,0.00
2025-07-24 13:54:43.305407,21.1,82.3,0.00,0.00
2025-07-24 13:54:44.342307,14.3,82.4,0.00,0.00
2025-07-24 13:54:45.382123,12.3,82.4,0.00,0.00
2025-07-24 13:54:46.410902,17.1,82.4,0.00,0.00
2025-07-24 13:54:47.440612,14.2,82.4,0.00,0.00
2025-07-24 13:54:48.450278,20.8,82.4,0.00,0.00
2025-07-24 13:54:49.480545,13.8,82.4,0.00,0.00
2025-07-24 13:54:50.514830,29.8,82.6,0.00,0.00
2025-07-24 13:54:51.533669,23.3,82.8,0.00,0.14
2025-07-24 13:54:52.548043,48.7,86.7,0.03,0.06
2025-07-24 13:54:53.567553,25.9,86.5,0.02,0.16
2025-07-24 13:54:54.601549,18.0,86.7,0.01,0.18
2025-07-24 13:54:55.632428,15.7,86.7,0.00,0.00
2025-07-24 13:54:56.660601,21.6,86.7,0.00,0.00
2025-07-24 13:54:57.684710,17.1,86.6,0.01,0.01
2025-07-24 13:54:58.723311,14.2,86.7,0.00,0.00
2025-07-24 13:54:59.758298,23.0,86.7,0.00,0.00
2025-07-24 13:55:00.774583,19.5,86.6,0.00,0.00
2025-07-24 13:55:01.806157,14.1,86.6,0.00,0.00
2025-07-24 13:55:02.818466,18.5,86.6,0.00,0.00
2025-07-24 13:55:03.856610,13.1,86.4,0.00,0.00
2025-07-24 13:55:04.889849,20.7,86.4,0.00,0.00
2025-07-24 13:55:05.911592,11.3,86.3,0.00,0.00
2025-07-24 13:55:06.944362,7.2,86.3,0.00,0.00
2025-07-24 13:55:07.975118,14.6,86.3,0.00,0.00
2025-07-24 13:55:09.004800,11.8,86.3,0.00,0.00
2025-07-24 13:55:10.028060,16.4,86.1,0.00,0.00
2025-07-24 13:55:11.048666,17.4,86.1,0.00,0.00
2025-07-24 13:55:12.071884,14.9,86.1,0.00,0.00
2025-07-24 13:55:13.088515,8.2,86.1,0.00,0.00
2025-07-24 13:55:14.130376,11.6,86.0,0.00,0.00
2025-07-24 13:55:15.160427,19.6,86.1,0.10,0.01
2025-07-24 13:55:16.185746,12.8,86.0,0.00,0.00
2025-07-24 13:55:17.205294,18.1,86.0,0.00,0.00
2025-07-24 13:55:18.233995,12.8,86.0,0.00,0.00
2025-07-24 13:55:19.262414,12.1,85.7,0.00,0.00
2025-07-24 13:55:20.276541,18.3,85.9,0.00,0.00
2025-07-24 13:55:21.300515,13.7,85.9,0.00,0.00
2025-07-24 13:55:22.336996,13.2,85.9,0.00,0.00
2025-07-24 13:55:23.355702,13.1,85.9,0.00,0.00
2025-07-24 13:55:24.380550,12.7,85.9,0.00,0.00
2025-07-24 13:55:25.404802,23.1,85.8,0.00,0.00
2025-07-24 13:55:26.430245,16.3,85.8,0.00,0.00
2025-07-24 13:55:27.453765,20.1,85.8,0.00,0.00
2025-07-24 13:55:28.488584,8.9,85.4,0.00,0.00
2025-07-24 13:55:29.521990,14.0,85.4,0.00,0.00
2025-07-24 13:55:30.553242,29.1,84.4,0.00,0.00
2025-07-24 13:55:31.589447,14.6,84.4,0.00,0.00
2025-07-24 13:55:32.612869,12.6,84.4,0.00,0.00
2025-07-24 13:55:33.638885,12.5,83.9,0.01,0.01
2025-07-24 13:55:34.670334,15.4,83.4,0.00,0.01
2025-07-24 13:55:35.693991,17.0,83.4,0.00,0.00
2025-07-24 13:55:36.725207,12.8,83.5,0.00,0.00
2025-07-24 13:55:37.748767,12.7,83.5,0.00,0.00
2025-07-24 13:55:38.794875,9.3,83.4,0.00,0.00
2025-07-24 13:55:39.825016,12.5,83.5,0.00,0.00
2025-07-24 13:55:40.852193,17.5,83.5,0.00,0.00
2025-07-24 13:55:41.868598,12.4,83.5,0.00,0.00
2025-07-24 13:55:42.909164,14.0,83.5,0.00,0.00
2025-07-24 13:55:43.936023,13.9,83.5,0.00,0.00
2025-07-24 13:55:44.959195,12.1,83.5,0.00,0.00
2025-07-24 13:55:45.981698,19.4,83.5,0.00,0.00
2025-07-24 13:55:47.017940,13.9,83.5,0.00,0.00
2025-07-24 13:55:48.035408,10.8,83.5,0.00,0.00
2025-07-24 13:55:49.074363,13.5,83.5,0.00,0.00
2025-07-24 13:55:50.102063,7.9,83.5,0.00,0.00
2025-07-24 13:55:51.125222,25.1,83.3,0.00,0.00
2025-07-24 13:55:52.131258,22.9,82.2,0.00,0.00
2025-07-24 13:55:53.171072,24.1,81.2,0.00,0.00
2025-07-24 13:55:54.204478,10.9,81.2,0.00,0.00
2025-07-24 13:55:55.238106,15.3,81.3,0.00,0.00
2025-07-24 13:55:56.253639,10.8,81.3,0.00,0.00
2025-07-24 13:55:57.279187,19.5,81.3,0.00,0.00
2025-07-24 13:55:58.305102,11.4,81.3,0.00,0.00
2025-07-24 13:55:59.353865,14.5,81.3,0.00,0.00
2025-07-24 13:56:00.380640,17.0,81.3,0.00,0.00
2025-07-24 13:56:01.397027,21.5,81.3,0.00,0.00
2025-07-24 13:56:02.437706,20.6,81.4,0.00,0.00
2025-07-24 13:56:03.468204,13.1,81.4,0.00,0.00
2025-07-24 13:56:04.498263,11.7,81.4,0.00,0.00
2025-07-24 13:56:05.526415,17.1,81.4,0.00,0.01
2025-07-24 13:56:06.554784,13.3,81.4,0.00,0.00
2025-07-24 13:56:07.578539,21.7,81.4,0.00,0.00
2025-07-24 13:56:08.602093,17.6,81.4,0.00,0.01
2025-07-24 13:56:09.634770,21.3,81.4,0.00,0.00
2025-07-24 13:56:10.665280,10.5,81.4,0.00,0.00
2025-07-24 13:56:11.695099,12.8,81.4,0.00,0.00
2025-07-24 13:56:12.722692,16.2,81.4,0.00,0.00
2025-07-24 13:56:13.750865,21.9,81.4,0.00,0.00
2025-07-24 13:56:14.782373,12.7,81.4,0.00,0.00
2025-07-24 13:56:15.813311,15.7,81.4,0.00,0.02
2025-07-24 13:56:16.834404,17.6,81.4,0.00,0.00
2025-07-24 13:56:17.856107,25.6,81.4,0.00,0.00
2025-07-24 13:56:18.875321,16.1,81.4,0.00,0.00
2025-07-24 13:56:19.905384,19.8,81.4,0.00,0.00
2025-07-24 13:56:20.936608,15.0,81.4,0.00,0.00
2025-07-24 13:56:21.960375,15.5,81.4,0.00,0.00
2025-07-24 13:56:22.984029,14.7,81.4,0.00,0.00
2025-07-24 13:56:24.023516,12.6,81.4,0.00,0.00
2025-07-24 13:56:25.054144,6.4,81.4,0.00,0.00
2025-07-24 13:56:26.075893,16.3,81.4,0.00,0.00
2025-07-24 13:56:27.101423,11.8,81.4,0.00,0.00
2025-07-24 13:56:28.141456,15.1,81.4,0.00,0.00
2025-07-24 13:56:29.172156,11.9,81.4,0.00,0.00
2025-07-24 13:56:30.199662,19.8,81.4,0.00,0.00
2025-07-24 13:56:31.224800,54.7,83.7,0.00,0.00
2025-07-24 13:56:32.348453,100.0,84.6,0.01,0.03
2025-07-24 13:56:33.395338,100.0,85.3,0.01,0.03
2025-07-24 13:56:34.419160,89.5,85.2,0.00,0.00
