거래시간,종목코드,현재가,주문수량,주문종류,주문결과
2025-08-19 09:01:24.769789,003230,1389000.0,7,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-19 09:26:28.589037,003230,1390000.0,7,매도(규칙2),모의투자 매도주문이 완료 되었습니다.
